Industry,Gig_Worker_Percentage,Revenue_Growth,Cost_Savings,Employee_Turnover,Gig_Dependency_Level,Gig_Satisfaction_Score,Policy_Support_Level,Collaboration_Level,Impact_on_Company
Healthcare,85.33832147669843,10.026118412415826,16.59442477163222,12.420777829698986,1,1,4,5,0
Tech,65.48767388313851,10.234862469523067,16.534690198484515,12.262173927893354,4,3,4,2,1
Retail,33.312236424332376,6.446857509989846,9.829082050952891,15.155509101258678,4,3,3,1,0
Healthcare,55.352896211613356,9.227344044891769,12.5808584150167,8.784531577735763,4,3,1,3,0
Logistics,5.456957783475391,2.0279106422833317,7.1064529885694,8.500356984759788,2,5,5,4,1
Logistics,23.915510014732412,4.819448339611208,8.5783177468643,9.598189821609608,4,1,5,2,0
Healthcare,45.06882886051886,8.119921256477081,13.994201436164607,8.35812208033888,1,3,4,1,0
Retail,87.39856201488354,12.94011864285139,18.430953043933687,7.745432408063847,4,2,2,4,1
Healthcare,10.345828370495303,3.291820395094718,7.246472013720576,17.1786867792705,4,1,1,4,0
Healthcare,37.293213247009206,4.441529716059312,15.958726412297569,16.809049120760736,1,4,3,4,0
Tech,31.4145615150606,4.406957096285095,10.599267393815548,14.603742566138777,3,2,1,4,0
Healthcare,49.793856351213336,7.911820800918962,13.376122986779086,13.41852531955031,4,2,5,1,0
Logistics,49.2116756191332,7.895033973019322,14.703377863719963,13.189672446183,3,5,1,3,1
Retail,82.81085092683075,12.51150295898437,17.2208123552788,7.92968301111039,4,3,5,4,1
Healthcare,61.611423583052385,11.528379830647658,18.931050627765764,10.213911029534135,4,2,3,4,1
Retail,9.133493840730821,4.5503076093957615,8.660041802651392,12.219647291330272,3,5,4,2,1
Retail,22.953288417216054,5.978788161092576,11.314351901903512,13.097050999388685,4,2,1,4,1
Finance,46.087020523381426,6.064378318459196,12.51240638739907,9.24167972760252,3,1,1,3,0
Finance,45.27418148397341,7.784794068913378,13.45167303887247,5.269737774960878,2,3,2,5,1
Retail,1.4468536073144689,3.1539798306198397,8.03851155542349,9.854603977876755,4,4,3,5,1
Finance,13.695368918985974,5.9173872086972,10.13336176127118,13.693909045475467,2,3,5,3,1
Finance,64.8110587790972,7.877903766854443,16.31525577026673,16.498341782044303,1,3,3,2,0
Finance,38.327084018288716,6.564442746019331,10.003564928603499,12.064155047474962,2,3,4,3,0
Retail,52.748637879533575,9.825871501591635,10.684056323721817,15.003769747940089,5,2,3,5,1
Logistics,12.488331324064617,4.541035462999949,8.362778426467642,10.120071803283482,5,5,1,3,1
Healthcare,50.11529628112837,8.374624866708421,14.300297199156983,4.381718874091111,2,2,2,5,0
Retail,7.203692501852011,3.3594963776056144,7.226353303669705,9.246757383782304,5,2,1,1,0
Finance,7.222157275550723,3.978714676889409,6.592373310014887,17.097759475143693,3,3,1,1,0
Finance,90.91152752072928,13.903763671411541,16.417830479884024,12.33138210991416,5,2,2,2,1
Healthcare,21.86183312588591,7.103393271405928,9.911543678106728,6.832346196625454,4,3,4,5,1
Retail,91.15731401376979,9.101460538918499,19.29717513390976,11.216403071990348,5,3,1,5,1
Tech,22.79247251886488,7.26028108649732,11.47903250602352,10.065093784863214,4,4,4,2,1
Healthcare,90.8652198783399,11.566382577853934,20.250005403315864,14.699653843482778,3,3,3,5,1
Healthcare,80.9181103446606,11.385833870549604,16.28735029480642,14.702537057227588,5,4,2,3,1
Tech,55.456071376277464,8.145558832532238,12.746123568053516,15.1332889235066,5,2,2,3,1
Tech,11.17061222329715,3.7774914143655365,7.313928618746513,9.969991899870504,1,5,4,3,0
Finance,97.43237495815588,13.570517137759735,15.921450077095827,8.447228197011134,4,5,2,2,1
Finance,47.66873414276183,6.322552203803307,13.342861724027149,12.801072702241813,4,5,3,1,1
Tech,53.92674652219791,9.754610436369873,12.947740185428716,15.586537028338993,4,5,3,3,1
Retail,76.20099404776617,9.21544230833289,16.95267059317031,9.51622418563112,4,1,2,3,1
Finance,55.66058981802935,8.207566389308775,14.988476447163688,10.150551407471676,2,3,1,1,0
Finance,57.74728981194759,9.376106797391033,15.797661517350184,5.59425665195537,4,4,4,2,1
Retail,56.13690172183667,5.9762036053223815,14.625030105067435,10.88585184357199,1,3,1,1,0
Finance,15.784141087292058,1.962422707286358,11.411496984900516,11.644666927078458,5,1,1,4,0
Healthcare,99.96563089563388,12.99121308171341,19.57054340955868,14.11259314091789,4,4,1,5,1
Tech,49.61534392841938,7.421906109635877,12.35135903336567,9.35169536339772,3,2,2,3,0
Finance,19.209764520135263,8.394738508602776,10.62791390392098,16.63110783089207,5,3,3,1,1
Retail,77.99635249316695,13.128316951719261,16.01301281722224,5.0235125628112955,3,4,2,1,1
Tech,40.80102314975367,6.793996240927699,11.208383116098108,5.700459971668593,5,1,5,1,1
Finance,79.42579282362497,10.727970251965887,15.912862190298533,10.339170842982242,1,1,3,3,0
Healthcare,66.13737363753611,13.049957340428165,16.905934508489793,5.924173293701674,3,2,4,4,1
Retail,15.00038607274724,5.978483216188845,8.541525544084465,8.652804745326305,1,5,5,5,1
Tech,55.710434482660595,7.505774708680574,14.310241640217669,16.008264310314935,1,1,3,1,0
Retail,56.25228436045801,6.834014685064579,10.983948617676674,9.0805585759741,5,2,5,5,1
Retail,77.98425810193169,11.78348647722727,15.518982656068932,16.47393792351012,4,4,1,4,1
Tech,79.69455636216577,12.325281083033884,19.037128458904615,9.169712882020631,1,4,2,4,1
Logistics,58.61071179372228,9.677519399622804,14.101100481801115,16.795562932682653,3,4,3,1,1
Tech,51.72964958900732,9.276207620007353,14.221497885752013,12.6960949097145,5,2,2,1,0
Finance,27.17937526236749,4.400048474853243,8.394437923896291,17.477275449278626,1,3,1,2,0
Healthcare,93.41912697466239,13.873807118526683,18.866839867382033,11.165188118057374,1,5,1,2,0
Tech,64.10862839596584,10.104353713202109,15.31033437434477,15.92470481355747,3,1,4,5,1
Tech,57.80969309280258,8.300186092890913,14.789831250688117,7.2074255917252135,2,3,4,4,1
Tech,63.573935753018716,10.553969873663908,12.894735475642056,15.273159451051836,4,2,1,4,0
Retail,43.606061209230475,8.494635633049118,11.991601769031295,10.203673516642976,2,3,5,4,1
Logistics,70.25870565519847,7.656907125551715,14.722335655590646,9.890743539382466,1,3,4,4,1
Finance,38.90607096186526,6.3586426722207525,10.775036041249763,9.811868875320545,2,2,1,2,0
Tech,13.892747991286281,7.763328141482853,7.5751473806667065,7.262773117751557,3,2,5,4,1
Logistics,3.5483405145697478,4.415688735614886,7.793144110201277,4.4990203080524935,3,5,1,4,0
Healthcare,3.1028442418032265,2.4943413337421907,8.04547387359698,12.179203258059779,4,5,5,4,1
Tech,80.15629946391074,12.104391572824593,17.793554923602,12.747018028883689,4,2,5,5,1
Tech,13.423205453146714,4.002416068152794,7.44697305266577,5.707562610239756,1,3,3,2,0
Retail,32.38467544775197,4.369921405097948,12.395367815903139,10.355452684485957,1,3,4,1,0
Healthcare,9.212260814607355,4.048047793241611,8.288286315802265,10.982201406429036,2,5,5,2,0
Retail,72.50931110695649,10.8761508489697,16.456339869346657,6.83053677296423,3,2,5,5,1
Logistics,98.03912045930757,14.06247235125057,16.390999244803584,10.1524339852997,5,3,4,1,1
Finance,74.29088460488028,10.412367205017214,15.340544878821404,11.8219961075248,2,1,2,3,0
Retail,41.17645502263774,4.328065225639238,8.124691504654171,9.85418486953093,1,1,5,4,0
Tech,29.234742421515147,7.973686844746307,12.11063042312419,6.693116789176484,2,3,1,3,0
Finance,26.050245145406514,4.73283285119116,9.441683240985455,14.041833091602863,4,1,5,5,1
Healthcare,55.189513949914584,7.4032055155368575,11.92970244833548,11.043709636798503,4,1,2,1,0
Finance,41.00215233120643,6.234410342221738,12.498810695534797,13.965157361936193,1,3,5,1,0
Logistics,1.9932167119719568,7.491899179264855,7.5804898953928195,11.963263209367064,2,5,5,3,1
Tech,64.98120312478848,6.965356337905315,15.171342054882649,8.325139711092982,5,2,5,5,1
Healthcare,71.61110355892511,9.429283881847304,18.370498231837242,15.059309015569278,5,3,3,3,1
Retail,91.29322372974316,13.593964362823145,17.19298601071248,12.776437758072143,1,2,2,2,0
Finance,3.660971584220085,3.853986325903199,6.424815716394664,6.857010355721014,4,4,3,4,1
Healthcare,32.543375684088616,7.533368359155702,12.30896671403922,19.34861676265912,4,1,2,4,1
Retail,24.787557232395073,2.606736960473976,11.831228163799686,7.403038991398324,4,5,4,4,1
Tech,46.39972243669551,8.311563406070306,13.765207840376863,10.692981202420334,2,3,4,5,1
Healthcare,48.36900262647856,5.387560813455284,13.056849835104618,15.66290339632483,5,2,4,4,1
Retail,16.643207666245708,4.721507627311336,8.130530321881974,9.783725882018606,4,5,2,5,1
Logistics,85.41253148922391,10.940939043536419,15.37317684819153,10.89652799971067,3,1,3,2,0
Finance,43.07419748812953,4.770650278285807,10.693952352675353,13.334748300460731,1,2,5,5,1
Finance,41.21123469647681,7.871933395735889,12.931250687295927,15.90364592983634,2,5,3,2,0
Logistics,90.95555357753415,10.535453013267336,16.08980175602983,8.643750860086076,5,5,1,2,1
Healthcare,42.16816468528943,7.63091733993,12.09238222066664,16.439433023296594,5,3,4,4,1
Retail,20.818487800854115,7.532219302230562,9.93017952982732,11.88320064849827,1,4,1,1,0
Logistics,51.040468871903144,11.084889529529578,10.92075271500673,15.779860850938277,4,1,1,4,0
Logistics,15.883914770624685,1.149020233976671,9.144417928139577,14.285271419724975,4,2,3,1,0
Logistics,35.861105228117076,9.874351212785655,10.937316669541715,17.49816421803171,2,2,3,2,0
Logistics,92.5738987733331,13.010487504870895,14.352223695051453,12.345586316008243,4,3,2,1,0
Retail,85.79195484604065,9.239787344595292,16.042091116203498,13.249108932861624,1,4,2,3,0
Finance,49.56313419034801,7.39661381673888,10.560299481562954,8.812102296025913,1,5,3,2,0
Logistics,91.40154920365512,10.601588285170083,18.678767661860242,10.623492482213772,3,1,4,2,0
Retail,79.15326186668919,9.192311115147138,17.58750094602204,16.300214146348207,2,5,2,3,0
Finance,63.36387354152389,10.641458951322022,13.036044178902253,14.462086087700273,5,2,2,2,1
Finance,32.67941851077955,7.6066610381454804,9.461366943641469,8.24733261419473,2,1,1,2,0
Retail,48.47027586769252,9.512772841766175,14.974228861671804,8.056998289410277,4,2,3,1,0
Retail,25.32708956674702,6.447812330060777,10.643664109272867,10.675697913551062,4,2,2,3,1
Retail,63.61120572029383,9.283940974568104,17.1293023309965,11.076087769866803,1,2,3,1,0
Healthcare,29.129675797808506,8.249127136971108,10.343595062740471,14.315267256992179,5,3,3,1,0
Tech,24.096485121971767,8.836140067977157,7.247076525432378,11.200792405528977,1,1,1,5,0
Logistics,51.222852536553276,9.525540317683841,13.866699887781355,14.079341581263256,2,5,4,4,1
Retail,33.58543158608322,5.130832035337679,10.889749213565619,10.091109978903063,2,4,1,3,0
Tech,96.78609416065774,11.961848771451063,17.62086387369242,16.00959674400325,3,3,3,5,1
Tech,13.504799872780337,6.6123816040114605,8.939159109836178,10.188608784038555,5,4,2,4,1
Logistics,31.047795644618937,6.6125808449063745,9.640009940224578,12.458591833251235,1,3,3,2,0
Tech,44.0880233134864,6.1750619590721465,10.505117842056526,7.60205275277381,5,5,3,5,1
Logistics,32.363766833912166,4.412966433483179,10.131579328664474,16.3580546899185,2,2,3,4,0
Retail,16.810686120613372,2.5870821752213766,10.070485249270464,11.267085685057989,2,3,5,5,1
Tech,42.73060432344899,6.836645174577444,14.129010511552547,13.953046666002706,2,2,2,4,0
Finance,37.67161539353368,8.97272499400258,12.94933460298733,9.79361619300831,2,1,2,5,0
Logistics,68.60676967292221,13.252579646782744,16.043021000484654,7.342562978912119,3,1,5,5,1
Healthcare,33.48762934795337,3.7933764978563054,9.544485236620208,13.657414280070043,1,5,5,5,1
Retail,3.7949730239870805,4.197319921652746,8.802309506191058,7.325322040024251,3,2,5,5,1
Healthcare,25.60627754263155,6.822688337080178,11.257256945580407,15.240719467759629,4,4,5,1,1
Healthcare,97.54819924477611,12.60842537578399,19.992311140268274,6.356896852400579,3,2,4,2,1
Healthcare,46.5339226732051,6.708113164493871,9.634583149022973,10.053037968256074,1,1,3,2,0
Logistics,59.4552562360948,9.113775112743294,14.571847743516843,11.378372762093566,2,4,4,2,0
Finance,95.12837962853091,9.600541008200286,19.734747786811404,14.200073686475257,3,4,1,5,1
Tech,47.961547373387404,7.109716703507455,14.358516808948648,11.33276041709724,4,2,4,1,0
Finance,78.68702691851252,12.303008639597257,15.796882887643829,11.033745548404301,3,2,4,1,0
Retail,32.47950654119334,7.822914781270323,10.89788048435562,13.893209953382865,2,5,2,4,1
Retail,9.985782447202563,5.128943074670778,10.78277775761358,14.477547259959744,2,4,3,2,0
Finance,63.813939896881955,10.999861626850878,12.60818746973129,10.598647730630432,2,1,1,3,0
Tech,87.03037784998425,14.135949625543269,19.924464461142843,8.583652523299362,5,2,2,4,1
Healthcare,7.599824401640931,4.449501119295395,6.924357682607727,11.641500151551583,2,4,5,5,1
Finance,38.06461466974574,6.694437271852814,10.296435126224928,15.183611554520514,2,2,4,2,0
Healthcare,60.436147496120476,10.820729706542128,16.120492676906863,19.968135063541435,2,2,3,2,0
Logistics,23.44505077612904,7.762318361992059,10.10676359976357,9.738583986656437,1,1,4,1,0
Healthcare,60.74287609211508,9.248463124099642,17.1216973959761,14.809406077230843,4,2,2,3,0
Logistics,11.788606628800514,4.31524105854606,5.823631634627237,8.836544049285184,1,5,2,1,0
Retail,94.77441380681788,12.58238745197022,16.991771905451714,5.834941783915842,3,4,5,4,1
Healthcare,17.657897248946398,3.3720244446979897,11.604228610259042,19.80008927006311,3,2,3,1,0
Finance,83.00653721957794,8.143615950445582,16.65435070111336,11.319063453770513,2,5,5,4,1
Finance,91.30330980537907,8.83376322802732,21.95693209478931,14.068039899105083,3,5,3,2,1
Logistics,12.420329396377383,4.153813467196285,11.006107092963266,7.064294762833292,2,4,2,4,0
Logistics,53.66209028549586,8.658430618791748,12.125259688997755,12.0746393052638,5,3,5,1,1
Healthcare,17.6960168030439,5.802414538118969,11.0518830597961,9.185285095969514,1,4,2,3,0
Logistics,96.77721619298484,13.78951322143719,19.658524623409914,15.324052643751969,4,5,1,5,1
Retail,23.896653358859645,6.142236119675702,7.608425743766708,17.732114344526845,5,1,4,3,0
Retail,97.58805437588852,12.722457913265119,19.676442731779485,7.069396993226297,2,4,5,5,1
Healthcare,29.714931868899164,5.045752041444789,10.206852420206172,10.994879427867193,1,3,4,3,0
Healthcare,53.485686966461266,8.611490996901452,14.454721958895087,9.421436845574965,2,3,1,1,0
Finance,19.179786582270964,2.7353020236120913,10.584676745736909,4.421658853431842,1,3,3,5,0
Tech,64.68602240172217,11.152319210535369,11.566719634965656,15.752142090618964,3,3,1,5,0
Retail,20.00486331536323,3.571606267409577,7.795780558286889,14.197551590799469,3,2,5,3,0
Finance,45.550854903192494,8.999033412872192,12.476859240479799,11.670854832069557,4,2,5,5,1
Logistics,72.97354999183952,9.2495362471508,16.194360320653423,12.269546261177082,4,1,4,4,1
Healthcare,73.19816092736072,9.835806293580898,14.704457036575146,15.774282931013357,2,3,1,2,0
Finance,70.77919273761769,10.739745872336627,15.067340380780177,5.432040037360455,2,1,2,2,0
Tech,86.22895745951284,12.586232467917897,21.212382572060598,8.513536322796224,5,2,5,4,1
Tech,1.7022424179829243,0.5495827438504151,8.040442179435754,15.398015816613023,5,4,1,5,1
Healthcare,11.654407781531873,2.000537202370483,8.338628441641294,13.526845399488888,1,1,5,4,0
Tech,95.09681864523994,11.115573257383094,17.245854772856234,8.152935103386115,1,3,1,2,0
Healthcare,65.10789757492526,9.269889796294917,16.034559925968264,7.71435536776914,3,4,2,2,0
Logistics,82.70454911428297,10.264924219642271,19.861628074263837,12.279892856601434,5,3,4,3,1
Tech,13.118754191801084,4.567785508407943,8.355693342020523,18.130003919715065,2,5,1,1,0
Tech,41.99602122261923,5.79328787865818,12.941433915139193,10.639196082653314,4,3,2,4,1
Finance,30.73605812958998,3.7528386872998722,13.606511589777178,16.56930765208769,1,1,5,3,0
Tech,4.52951288425012,4.077298599975188,8.595942088056335,13.16446395608675,2,4,1,5,0
Retail,4.643110467233913,4.3242266833889635,5.158443922182271,12.067911098536028,2,2,5,3,0
Logistics,86.49685594304802,11.981220967526797,17.511878079990726,7.5929877211015,1,4,2,4,0
Retail,85.54328533030777,11.052879998963821,18.79935232850211,3.9057881436767814,2,4,5,4,1
Retail,47.82221148831178,8.531902410501102,12.30022432113708,13.75035053452639,2,1,4,4,0
Healthcare,39.13513387005799,8.068631242468504,12.143048783179974,9.267878266275327,4,3,5,3,1
Logistics,54.833199852979575,9.35355637939874,14.619476555499576,7.060652219741018,2,1,5,3,0
Tech,9.304911298812923,4.3512955511384535,9.900588321121898,6.320084948868764,3,1,2,3,0
Logistics,54.9052939857669,7.67631482178184,14.649058622052085,12.463666419075421,5,2,2,5,1
Finance,98.11799531889756,13.31996086357203,19.951661922951228,9.825566666767193,4,3,4,2,1
Finance,56.96765865747011,7.16973882094976,13.822866427071986,19.27005629074914,4,2,5,4,1
Logistics,4.7979661211655085,7.223668881055078,8.2210965135787,3.58466242108686,5,4,5,4,1
Finance,46.28397021877358,8.396253859378499,12.530055974640632,15.55902793477998,3,1,1,5,0
Finance,22.434718637176452,6.635113765582799,9.275225798342781,13.043611071433151,4,1,5,1,0
Logistics,35.5565060217083,4.563027264913889,10.972664536796744,16.66114110212186,4,1,1,5,0
Retail,10.837470729316989,2.560720145520362,8.273577725942422,18.00990127120651,5,2,5,5,1
Retail,73.58820919073594,12.522126531715653,15.323967349318108,13.82971095989096,2,2,5,1,0
Finance,31.259360067774324,5.622348490363867,9.364828206157938,12.883028378270827,2,5,1,2,0
Tech,98.54817505716017,13.736319475801691,18.63641301820276,10.216495325404743,3,5,2,3,1
Healthcare,49.12729181044718,8.632489004684958,13.229444645204365,12.413637496572983,5,3,4,2,1
Retail,6.224372615878093,5.6499771033887916,8.467260785003418,10.95318915868489,1,1,4,3,0
Finance,39.08516806325096,9.03814122315448,13.408089453768639,8.494775610468318,5,5,5,3,1
Finance,49.8989466596573,6.785753223764915,12.944943585992162,17.19996092148189,4,5,4,2,1
Logistics,14.521514145351567,7.014318597381202,9.53543180945102,18.201363515578016,4,3,3,1,0
Logistics,76.76754330372792,10.11700773848391,18.120050377463603,8.597411541663977,1,1,5,5,0
Finance,3.905617881643908,3.262808283227037,5.984136696932927,15.008544886239193,5,1,2,4,0
Logistics,52.81400572737537,8.854483693740592,13.951697777245114,6.088739947776919,2,1,3,5,0
Finance,85.05066043781953,13.46775457715092,15.159517269618242,8.945490956589682,1,3,5,2,0
Finance,16.802074925609713,3.4657424180865513,8.170684908069427,15.856630232536759,3,1,2,5,0
Retail,81.74495144763007,12.001238135533455,16.516302786128417,7.7487778928014155,1,5,3,5,1
Finance,83.39581246649568,10.880262997276006,18.282076747224487,10.022355758211258,4,1,2,5,1
Logistics,97.1071930282969,13.293116484293888,20.37359469356069,6.184341798039044,1,3,5,4,1
Healthcare,55.42147153188828,9.466484508996553,11.862927649378737,13.315913635768636,1,1,2,4,0
Logistics,3.534104460972576,4.860403046630765,9.959816328641676,23.255510227273465,3,5,3,5,1
Finance,88.23476118397538,13.417969416485427,18.04031156524709,7.022531150720382,4,5,4,4,1
Tech,57.63088198890566,10.576698708151369,12.202933701588565,9.115997224840395,1,1,2,4,0
Tech,67.8542029790759,13.32318831582095,15.130903174652408,13.402103625848348,4,1,1,5,1
Logistics,7.9870673996299875,7.5602887600824795,8.08910175325153,10.536912187012309,2,3,2,2,0
Retail,45.77140514982325,7.245981074241762,13.120017532358494,14.519735634176548,2,1,4,4,0
Retail,34.14711324550287,5.390185388643432,10.490396641104827,4.769391863259979,1,3,4,4,0
Finance,68.34265904180037,6.383492372295086,17.031095420150532,15.37790127981684,4,5,2,1,1
Healthcare,36.77775931154158,5.8455626230416,13.733950892149396,18.16276320273947,1,5,2,1,0
Healthcare,54.56765158365603,9.461058431661705,14.862073672001621,11.948208301227016,3,2,1,2,0
Logistics,79.63018964232812,9.92089360244413,15.615944696361453,3.621971298652861,1,4,5,1,0
Logistics,49.455019009718406,8.833843336089076,12.345594051872643,11.952962046896642,5,2,5,5,1
Finance,63.439725949708446,11.185066281844609,15.447287723093844,6.0379444546681995,2,1,4,3,0
Tech,14.337567106823956,4.674296464778607,8.961177062780871,12.387803984906226,5,3,5,3,1
Logistics,65.69467392113518,8.88961731589084,16.085520939050433,11.671641158589317,1,3,1,4,0
Logistics,69.35045286247416,9.074905168693347,13.857570890152223,19.506019028523696,3,3,1,5,0
Logistics,74.97488324272949,7.9981964979090465,19.37060169208287,7.680019839769754,4,3,5,3,1
Retail,80.25422571573417,9.787203322263418,14.440182925315996,19.054618033636338,2,2,5,1,0
Logistics,15.992903857633923,4.537548463454554,10.107993288418466,13.158408394586269,5,1,2,5,1
Finance,90.2266425423485,12.280039761534091,18.470587484841094,12.626489786635169,3,4,1,3,1
Logistics,83.77723159618344,11.3430431366026,16.966106349787623,7.524449934006653,3,5,2,2,1
Healthcare,31.699422644302977,4.241678518870638,7.863565265630432,12.381267126758956,4,4,2,5,1
Finance,7.400457569950247,5.1292802381391756,8.751635280604235,10.136108200010307,5,2,2,3,0
Tech,46.757096225241746,9.690279980413859,12.271475695934923,10.424013021842043,2,2,3,4,0
Healthcare,38.97441836269749,8.521147259510174,12.994263476452554,17.333443967304966,5,2,4,1,1
Retail,6.95089173342438,3.264672717275019,6.191212312203104,7.799895729965419,2,3,4,4,0
Finance,69.78030849052786,10.090969998717679,13.840279282130098,13.777058922738266,5,3,5,4,1
Logistics,48.36919551475606,8.652208846997679,11.159252838574869,20.119772953049033,5,2,2,3,1
Tech,2.5554284649379477,4.881001071704236,7.632378359152465,11.806299745293753,5,2,4,1,1
Healthcare,38.88365170474,7.579130042337194,11.38505989436438,12.53590450962085,4,1,1,5,0
Tech,32.69124672523922,6.432057662760847,8.454843224539061,14.293519992944864,4,5,4,1,1
Healthcare,83.74176088409688,12.369897203602989,16.839290739200365,14.53138667401763,5,4,3,5,1
