Worker_ID,Age,Gender,Education_Level,Gig_Platform,Monthly_Income,Hours_Per_Week,Job_Satisfaction,Mental_Health_Score,Workplace_Support,Job_Security,Career_Growth_Opportunities,Is_Primary_Income_Source,Impact_on_FTE
41,32,Female,Undergraduate,Swiggy,30445,54,2,2.985688978724701,3,3,2,1,0
42,42,Female,Undergraduate,Upwork,37052,47,3,5.130294044029375,4,4,3,0,1
43,23,Male,Undergraduate,Uber,29944,49,4,2.2872858163358596,3,3,3,1,1
44,35,Male,Undergraduate,Swiggy,40267,42,3,3.2872983275177035,2,3,3,1,0
45,44,Female,High School,Upwork,33763,50,3,4.49198404826501,3,4,3,0,1
46,24,Male,Postgraduate,Upwork,27193,44,2,1.9887199745576283,2,3,3,0,0
47,37,Male,High School,Uber,30742,48,3,4.048086841887239,3,4,3,1,1
48,43,Female,Postgraduate,Upwork,26692,50,4,2.1327096733826085,4,3,3,0,1
49,22,Male,High School,Upwork,30697,48,3,2.696830158004496,3,4,4,0,1
50,44,Male,Diploma,Upwork,35379,45,3,3.798281259323047,2,3,2,1,0
51,33,Female,Postgraduate,Uber,27148,20,3,2.5377157736183196,3,3,4,1,1
52,32,Male,Undergraduate,Freelancer,40256,42,3,2.081570890917195,3,3,3,1,1
53,43,Male,High School,Amazon Flex,36578,41,3,3.2417141630200126,3,2,2,0,0
54,28,Male,Undergraduate,Freelancer,32213,46,2,1.2547380322547208,1,3,2,1,0
55,30,Female,Postgraduate,Swiggy,36538,54,2,4.835881202186598,3,3,3,1,0
56,33,Female,Postgraduate,Upwork,46140,21,2,2.7218007482124866,1,3,2,1,0
57,40,Female,Postgraduate,Swiggy,27472,35,2,2.5189969337173546,2,2,2,0,0
58,24,Female,Undergraduate,Swiggy,29126,24,3,1.7067380885914925,2,3,3,1,0
59,32,Female,Diploma,Upwork,37316,29,4,4.002008133122304,4,4,4,1,1
60,41,Male,Diploma,Upwork,38885,33,3,2.717818453887764,2,3,3,1,0
61,40,Female,Undergraduate,Swiggy,39548,47,2,4.495772357026777,2,3,3,0,0
62,32,Male,High School,Swiggy,32617,23,4,3.472725066785019,3,4,3,0,1
63,27,Female,Diploma,Amazon Flex,28963,39,3,5.031758913302726,3,3,4,1,1
64,23,Female,Diploma,Freelancer,28917,40,3,3.609012301790992,2,3,2,1,0
65,49,Female,Diploma,Swiggy,29435,23,2,1.3140158830114481,2,3,2,0,0
66,45,Male,Postgraduate,Uber,34654,44,3,4.291130747628792,4,3,4,0,1
67,39,Female,Undergraduate,Upwork,27155,31,4,2.00833910901314,3,3,4,1,1
68,36,Female,High School,Upwork,32600,39,3,2.771772984278742,2,3,3,0,0
69,30,Female,Postgraduate,Amazon Flex,24817,32,3,1.7785048691956722,4,3,3,0,1
70,29,Male,High School,Freelancer,34112,35,3,3.153618056022842,4,3,3,1,1
71,23,Other,Postgraduate,Amazon Flex,37646,35,2,3.4487619617830108,3,2,2,1,0
72,28,Male,Diploma,Uber,25893,28,2,4.7446957117796735,2,2,2,1,0
73,27,Female,Postgraduate,Swiggy,38256,49,2,2.589616133383506,2,3,2,0,0
74,30,Male,Undergraduate,Amazon Flex,29578,28,3,2.2206821142820585,3,3,3,1,1
75,25,Male,Undergraduate,Upwork,31122,44,3,2.555836672469892,4,2,2,0,1
76,48,Male,Postgraduate,Amazon Flex,35194,25,3,1.3658687447479925,3,3,3,0,0
77,45,Male,Undergraduate,Swiggy,45471,45,2,2.550858021022429,3,3,3,1,0
78,25,Male,Postgraduate,Amazon Flex,24734,47,2,1.8221821145704016,2,2,2,0,0
79,33,Male,Postgraduate,Swiggy,31824,23,3,5.16681682237544,3,3,2,1,0
80,33,Female,Postgraduate,Amazon Flex,32137,52,4,3.437083247226516,4,4,4,0,1
81,24,Female,Postgraduate,Freelancer,40643,46,3,2.4376621554891704,3,2,2,1,0
82,41,Female,Undergraduate,Uber,38656,35,3,2.806459681350115,2,2,2,1,0
83,41,Male,Undergraduate,Swiggy,36002,20,3,2.4600614529389246,2,3,3,0,0
84,43,Female,Postgraduate,Amazon Flex,24874,36,3,2.910630715869681,4,3,3,1,1
85,45,Male,Undergraduate,Amazon Flex,34560,32,4,0.11726786739338602,4,3,3,0,1
86,45,Female,High School,Swiggy,34972,31,2,2.431814077332847,2,3,2,0,0
87,27,Female,Undergraduate,Uber,41056,45,3,5.592705355188753,4,4,3,1,1
88,23,Other,Undergraduate,Uber,41845,48,3,2.929817088466188,3,3,3,0,1
89,30,Female,High School,Swiggy,30692,27,3,3.332089138882447,4,4,3,1,1
90,34,Female,Undergraduate,Uber,28798,20,3,5.326700069218921,3,3,2,1,0
91,34,Female,Undergraduate,Upwork,49467,48,4,2.9443705592085467,4,4,4,0,1
92,40,Male,High School,Swiggy,24900,28,4,4.870842300193194,4,3,4,1,1
93,49,Female,Diploma,Swiggy,32670,48,2,3.390819338883214,2,2,3,1,0
94,35,Female,Undergraduate,Uber,36968,48,3,3.3237030791835442,3,3,4,1,1
95,26,Male,Diploma,Upwork,27293,43,4,4.969677563883039,3,4,4,0,1
96,34,Female,Diploma,Freelancer,42668,45,2,3.4331847327688947,3,3,3,1,0
97,34,Female,Diploma,Freelancer,31832,43,3,3.8621575802644488,2,2,2,0,0
98,49,Female,High School,Amazon Flex,24882,44,2,1.7621539763589766,2,2,3,1,0
99,25,Male,High School,Swiggy,25026,20,2,1.8481995921172174,3,3,3,1,0
100,26,Male,Postgraduate,Uber,34251,37,3,4.160407178197717,3,4,4,1,1
101,49,Female,High School,Uber,40771,27,2,6.4623466985003635,3,3,3,1,0
102,25,Male,High School,Amazon Flex,41441,33,3,2.076846318818721,2,3,3,1,0
103,42,Female,Postgraduate,Upwork,27800,40,4,2.97050120709826,4,3,4,1,1
104,34,Male,High School,Amazon Flex,40617,23,2,2.458393854114122,4,4,2,1,1
105,32,Male,Postgraduate,Uber,22048,49,2,2.951378750773079,3,2,2,0,0
106,22,Female,Undergraduate,Upwork,38833,43,3,2.1795345681269183,2,2,2,0,0
107,31,Female,Undergraduate,Upwork,27243,40,4,4.387003331985565,3,3,3,1,1
108,38,Female,Postgraduate,Upwork,23835,21,4,2.2956121647162506,4,3,3,0,1
109,45,Male,Diploma,Upwork,33073,39,4,2.903304833026829,4,3,3,1,1
110,29,Other,Undergraduate,Freelancer,24842,21,3,-0.14868892629641017,2,2,1,0,0
111,30,Female,Diploma,Uber,25480,23,2,0.7530555685025382,2,2,2,0,0
112,44,Female,High School,Swiggy,37164,30,3,3.1872063747957218,3,3,4,1,1
113,32,Male,High School,Uber,19481,40,2,1.8750701814251918,3,3,3,1,0
114,45,Female,Postgraduate,Swiggy,34018,30,2,3.503360649018155,2,3,3,1,0
115,40,Male,Postgraduate,Upwork,30010,43,3,4.69112141881175,3,3,3,0,1
116,40,Female,Postgraduate,Uber,31924,25,4,6.329520696718483,3,3,3,0,1
117,40,Other,Diploma,Amazon Flex,27441,47,3,3.7998607238109616,2,3,2,0,0
118,43,Other,Undergraduate,Upwork,35300,40,3,4.6036347842553385,3,4,3,1,1
119,33,Female,Postgraduate,Swiggy,35745,48,2,3.3650502472933166,2,3,3,1,0
120,30,Male,High School,Amazon Flex,27954,39,4,4.880467244109857,3,3,3,1,1
121,31,Female,High School,Amazon Flex,31440,38,4,2.6003242733815206,3,3,4,1,1
122,29,Male,Diploma,Amazon Flex,41023,48,3,4.358289326896057,2,3,2,0,0
123,24,Female,Diploma,Amazon Flex,31280,48,3,3.3459920833231465,4,3,3,0,1
124,22,Female,Undergraduate,Uber,33930,37,2,2.855188673137537,3,2,3,0,0
125,27,Female,Postgraduate,Swiggy,27409,36,2,1.7934724310697743,2,2,2,1,0
126,22,Male,Undergraduate,Freelancer,30366,54,3,2.494564159572968,2,3,2,1,0
127,49,Male,Undergraduate,Freelancer,33597,25,3,5.81499969648313,4,4,3,0,1
128,44,Male,Undergraduate,Uber,36235,54,3,2.5491397107975295,4,3,4,1,1
129,44,Female,High School,Upwork,34271,29,3,2.3578368778431376,4,4,3,1,1
130,31,Male,Undergraduate,Swiggy,33382,22,2,1.559575633404826,3,3,3,0,0
131,35,Female,Postgraduate,Swiggy,29929,48,4,4.589285373835742,3,3,3,1,1
132,26,Male,Postgraduate,Amazon Flex,26463,26,4,4.001321474943587,5,3,4,0,1
133,31,Male,Diploma,Swiggy,34978,24,3,3.46962715201694,2,2,3,1,0
134,38,Female,Postgraduate,Freelancer,35171,27,3,3.8525904106320494,3,3,3,1,1
135,49,Male,Postgraduate,Swiggy,34789,40,3,2.9058933733865726,2,2,3,1,0
136,39,Female,Diploma,Freelancer,43896,23,4,2.1838953747973036,4,3,4,0,1
137,31,Male,Undergraduate,Amazon Flex,28759,43,3,4.391033566780417,4,3,3,1,1
138,36,Male,Postgraduate,Upwork,34718,54,2,3.0507525068682764,2,3,2,1,0
139,49,Male,Undergraduate,Amazon Flex,39775,30,3,1.7232161542701725,3,3,3,1,1
140,25,Male,High School,Uber,32856,28,3,1.8464693509510455,2,3,3,0,0
141,24,Male,High School,Freelancer,16918,47,4,5.572139112290184,3,4,4,0,1
142,35,Female,Undergraduate,Uber,28449,42,2,1.0860919910451914,2,3,3,1,0
143,42,Other,High School,Swiggy,32652,39,4,3.3212672940394263,4,4,4,0,1
144,42,Female,Diploma,Amazon Flex,32628,34,2,2.411533489255527,2,2,2,1,0
145,33,Male,High School,Amazon Flex,35933,51,4,3.0312055191996885,2,3,3,1,0
146,34,Male,Undergraduate,Amazon Flex,41368,48,4,4.524473820765411,4,3,4,0,1
147,32,Male,High School,Uber,25096,30,2,3.53730388002951,2,3,2,1,0
148,22,Male,Postgraduate,Uber,24477,27,4,2.4515771280285317,4,4,4,1,1
149,28,Male,Postgraduate,Uber,26150,22,2,2.4517849166564925,2,3,2,0,0
150,45,Other,Postgraduate,Swiggy,25628,33,2,1.066348396921398,3,3,1,0,0
151,24,Female,High School,Swiggy,34492,20,2,3.8767929394822906,3,3,2,1,0
152,45,Female,High School,Freelancer,33723,23,2,4.387861175525821,2,2,2,0,0
153,37,Female,High School,Amazon Flex,44424,51,2,2.2415308853685136,2,3,2,1,0
154,27,Other,Undergraduate,Swiggy,42348,36,3,1.6690073382280717,3,3,2,0,0
155,48,Male,Diploma,Amazon Flex,33409,53,4,3.0747476115901042,3,3,3,1,1
156,36,Female,Undergraduate,Upwork,37660,33,3,3.854249560385967,4,4,3,0,1
157,22,Male,Undergraduate,Freelancer,29590,33,4,4.846458725074742,4,3,3,1,1
158,33,Female,Diploma,Freelancer,25757,30,2,4.20490780263993,3,2,2,0,0
159,39,Female,Diploma,Upwork,38842,44,3,2.470869106152251,3,3,3,0,1
160,25,Female,Undergraduate,Freelancer,32292,37,2,3.1003283500941548,3,4,3,1,0
161,37,Female,Undergraduate,Upwork,20074,24,3,1.3697088781574336,2,3,2,1,0
162,46,Male,High School,Upwork,33715,25,3,2.88722444134637,4,3,4,1,1
163,27,Male,Diploma,Amazon Flex,27188,25,2,2.886885455327625,3,2,3,0,0
164,35,Female,High School,Uber,35015,27,3,4.141146829743368,2,2,2,1,0
165,22,Female,Undergraduate,Swiggy,31413,40,3,2.5777233108984023,3,2,3,1,0
166,46,Male,Undergraduate,Upwork,15325,31,3,3.007049959541777,2,3,3,0,0
167,40,Female,High School,Freelancer,21234,28,4,6.1250803967398255,4,4,3,0,1
168,24,Male,Postgraduate,Freelancer,33815,20,3,1.3222495030839683,4,4,3,1,1
169,42,Male,High School,Upwork,40815,23,4,4.543805598665519,3,3,3,0,1
170,40,Male,Diploma,Freelancer,31140,54,3,2.8357434591990014,3,3,2,1,0
171,45,Male,Postgraduate,Swiggy,33480,44,3,3.3685677251742816,2,3,2,1,0
172,48,Male,Postgraduate,Uber,42856,51,3,3.5099240630422135,4,3,3,0,1
173,29,Female,High School,Swiggy,31559,23,3,0.693211522146447,3,3,3,0,0
174,47,Male,Undergraduate,Upwork,39585,49,3,-0.3839251504403416,3,2,2,0,0
175,23,Female,Postgraduate,Swiggy,36292,34,2,4.435132144135631,3,2,2,1,0
176,22,Male,High School,Upwork,33802,49,3,0.9266200042170563,3,3,4,1,1
177,28,Female,Undergraduate,Freelancer,31377,51,3,2.1160162890017817,3,3,2,1,0
178,43,Female,Undergraduate,Amazon Flex,32992,32,4,4.2998902290288195,4,4,4,1,1
179,31,Female,High School,Amazon Flex,53340,30,3,2.181607268674966,3,2,2,1,0
180,46,Female,Undergraduate,Swiggy,41552,50,3,4.354757542230523,2,3,2,1,0
181,23,Female,High School,Freelancer,39893,24,3,3.2003221100309043,3,2,3,1,0
182,42,Male,Undergraduate,Uber,30958,52,3,3.601777713510691,3,2,2,1,0
183,31,Female,Postgraduate,Upwork,29016,20,3,2.09082777381966,2,2,2,1,0
184,28,Male,Undergraduate,Swiggy,24349,30,2,3.109251271160396,3,3,3,1,0
185,24,Male,Undergraduate,Uber,33462,21,3,0.6618448622187239,2,2,2,1,0
186,26,Female,Undergraduate,Amazon Flex,31365,50,2,2.179156579822752,3,3,3,1,0
187,48,Female,Undergraduate,Freelancer,36276,21,3,3.9090360313220724,2,3,2,1,0
188,41,Female,Diploma,Freelancer,40680,49,3,3.4379318337466778,2,2,3,1,0
189,32,Male,Diploma,Upwork,24086,50,3,5.008108619593744,3,4,3,1,1
190,49,Female,Postgraduate,Upwork,18298,44,4,4.858360477087084,3,3,4,0,1
191,38,Female,Undergraduate,Upwork,31839,27,3,3.5660266992285616,3,4,3,1,1
192,32,Male,High School,Uber,41129,20,2,1.4566150139257181,2,2,2,1,0
193,22,Female,Diploma,Freelancer,28736,41,3,2.4527748615367915,3,3,3,1,1
194,39,Male,High School,Uber,28368,43,4,5.334940573300341,3,4,4,0,1
195,46,Female,High School,Amazon Flex,34044,42,4,2.103229667594478,4,3,3,1,1
196,30,Female,Postgraduate,Uber,29899,24,2,2.722562583358476,2,2,3,1,0
197,30,Male,High School,Uber,29039,20,2,4.7462054468407135,2,2,3,1,0
198,45,Female,Undergraduate,Freelancer,36270,37,2,3.445440821831352,2,2,3,1,0
199,48,Female,Diploma,Upwork,20814,44,2,1.6479337457285126,3,2,2,1,0
200,30,Male,Diploma,Swiggy,31961,49,4,2.554113754277421,4,4,3,1,1
201,49,Female,Postgraduate,Uber,51805,49,4,3.583657554156739,5,4,4,0,1
202,34,Female,Diploma,Uber,23534,42,3,2.5344999901299796,3,2,2,1,0
203,44,Male,Postgraduate,Swiggy,47476,52,3,2.1853275738233595,2,2,3,0,0
204,22,Male,Postgraduate,Upwork,42253,34,2,2.827820133518289,3,3,3,1,0
205,22,Female,Postgraduate,Uber,36749,24,3,3.23150041270537,3,3,3,1,1
206,47,Female,Diploma,Swiggy,46187,38,3,3.6656454703923878,2,3,2,1,0
207,30,Female,Undergraduate,Uber,39979,43,2,3.1372484563323604,3,2,2,0,0
208,28,Male,High School,Swiggy,43325,33,3,2.720236068165142,2,3,3,1,0
209,48,Female,Diploma,Uber,28752,41,2,3.0090000975149946,2,3,2,0,0
210,26,Other,High School,Uber,31609,46,2,1.0017124213353599,2,3,3,0,0
211,30,Male,Postgraduate,Swiggy,27529,53,2,4.19539203964517,3,3,3,1,0
212,47,Male,Diploma,Freelancer,21814,31,4,4.233444816474749,3,3,3,0,1
213,49,Female,Postgraduate,Amazon Flex,32901,37,3,4.020640796557318,3,4,3,1,1
214,23,Female,Postgraduate,Swiggy,34977,33,3,3.621988107230512,3,3,4,0,1
215,24,Female,Diploma,Amazon Flex,34584,25,4,1.3846915762691039,4,3,3,1,1
216,29,Male,High School,Amazon Flex,26699,38,3,4.976080808749816,4,3,3,0,1
217,25,Male,Postgraduate,Upwork,38411,53,3,3.091262934287,3,3,4,0,1
218,46,Male,Postgraduate,Freelancer,35226,45,3,3.6155891549433936,2,3,3,0,0
219,48,Female,Undergraduate,Swiggy,31925,48,3,2.2499359623136783,4,3,4,1,1
220,35,Male,High School,Upwork,40891,38,3,2.395932757495624,2,3,3,1,0
221,22,Female,Diploma,Swiggy,29883,33,3,1.2797709908426018,3,3,4,0,1
222,40,Female,Postgraduate,Swiggy,35203,35,3,1.8456998274844532,4,3,3,1,1
223,33,Female,Postgraduate,Upwork,30778,29,4,3.847691932950892,3,4,3,0,1
224,22,Male,High School,Freelancer,29821,36,4,3.1371885882756434,4,3,4,0,1
225,48,Female,Diploma,Upwork,29240,48,4,3.5942561304959213,3,3,3,1,1
226,28,Female,Postgraduate,Uber,33762,34,3,4.005794491018416,2,2,3,1,0
227,35,Male,Postgraduate,Amazon Flex,32865,30,3,4.588219402985666,2,2,2,1,0
228,43,Male,Undergraduate,Upwork,26666,24,3,2.6097506723396755,3,3,3,1,0
229,34,Female,Diploma,Amazon Flex,26315,47,3,4.536923567349203,4,4,3,0,1
230,42,Other,Postgraduate,Uber,35577,39,2,2.3415800949521497,3,2,3,1,0
231,38,Male,Undergraduate,Freelancer,23365,40,3,2.161474461836132,3,3,3,0,1
232,29,Female,Diploma,Freelancer,33739,43,3,4.488640424254691,3,3,3,1,1
233,28,Other,Diploma,Freelancer,24277,42,3,2.438274352004889,3,3,3,0,1
234,47,Female,Diploma,Swiggy,26229,21,4,4.31522703003467,4,3,3,1,1
235,31,Male,High School,Uber,40184,28,4,2.779392619931821,2,2,3,1,0
236,43,Male,High School,Freelancer,25452,24,3,4.498549114712107,1,2,2,0,0
237,29,Male,Postgraduate,Swiggy,41572,53,3,1.6751654114803975,2,3,3,1,0
238,46,Male,Diploma,Upwork,26434,29,2,1.2220819840600345,3,3,2,1,0
239,28,Female,High School,Uber,32027,51,3,2.9032722237559265,2,3,3,1,0
240,37,Female,High School,Amazon Flex,27146,23,3,3.8879489898367403,2,2,2,1,0
241,34,Other,Undergraduate,Amazon Flex,30465,30,3,3.8477360076567115,2,2,2,1,0
242,47,Female,Postgraduate,Upwork,31344,21,3,0.9853993847718137,2,3,2,1,0
243,36,Male,Postgraduate,Freelancer,26805,37,4,1.5668554458361856,3,3,3,1,1
244,44,Male,Postgraduate,Upwork,28014,25,3,2.765587802309896,2,2,2,1,0
245,28,Female,Postgraduate,Swiggy,34566,34,3,3.0360016746930607,3,2,3,0,0
246,23,Female,High School,Freelancer,24803,36,3,2.9596561631853717,2,3,3,0,0
247,44,Male,High School,Freelancer,33258,43,3,4.562527830830076,4,2,3,1,1
248,32,Male,Undergraduate,Swiggy,27493,39,3,2.988843197376329,4,3,4,1,1
249,48,Male,Diploma,Upwork,30907,39,4,3.954789040639179,3,3,3,0,1
250,40,Female,Postgraduate,Freelancer,30685,51,4,2.115470447131737,4,3,3,0,1
251,44,Female,Diploma,Freelancer,39504,43,3,2.875240375832495,2,3,3,1,0
252,34,Female,Postgraduate,Freelancer,27274,49,3,1.384829730427137,4,3,3,0,1
253,40,Male,Diploma,Freelancer,26065,32,3,3.2091852798107174,2,3,3,0,0
254,24,Other,Postgraduate,Swiggy,32146,31,2,3.7942462348199193,2,2,3,1,0
255,45,Male,Undergraduate,Freelancer,29726,40,3,3.0367961975504776,3,3,2,1,0
256,32,Female,High School,Freelancer,22610,33,3,4.192083981137168,3,4,3,1,1
257,44,Female,Undergraduate,Amazon Flex,32245,20,3,3.380485373545247,3,3,4,0,1
258,42,Male,Diploma,Amazon Flex,38203,27,4,4.063453438852589,3,3,4,1,1
259,39,Male,Undergraduate,Upwork,42161,46,3,3.701145343817327,4,3,3,0,1
260,35,Male,Diploma,Freelancer,27051,54,2,2.7571022213855345,3,2,2,1,0
261,31,Female,Postgraduate,Amazon Flex,32922,54,2,3.314009748459081,4,2,2,1,0
262,37,Female,Undergraduate,Swiggy,37833,30,2,0.21621533905584833,2,2,3,0,0
263,33,Female,Diploma,Amazon Flex,40817,23,2,4.118999022231816,2,3,2,0,0
264,38,Male,Undergraduate,Freelancer,32092,52,3,3.5762338152424555,4,3,3,1,1
265,36,Male,Undergraduate,Swiggy,42599,48,3,3.4360094101980594,3,3,4,1,1
266,44,Male,High School,Swiggy,22938,52,4,5.94107187084387,4,3,4,1,1
267,38,Male,High School,Swiggy,41157,48,2,2.444873829836035,2,2,2,1,0
268,47,Female,Undergraduate,Uber,31065,33,3,3.5267932694254314,2,3,2,1,0
269,42,Female,Postgraduate,Swiggy,28457,29,4,2.6639025362682993,3,3,4,1,1
270,49,Female,Diploma,Upwork,26475,44,3,1.5180474081265278,3,3,3,0,0
271,24,Female,High School,Freelancer,27912,51,4,4.167355473754194,3,3,3,1,1
272,28,Female,Undergraduate,Uber,29261,27,3,2.53963329438545,3,3,3,0,1
273,45,Male,Diploma,Amazon Flex,44395,35,3,3.504362128775469,3,3,2,1,0
274,29,Female,High School,Amazon Flex,27909,36,3,1.600085592114843,3,2,3,1,0
275,28,Female,Undergraduate,Uber,43504,41,2,4.212668073171961,2,3,2,1,0
276,43,Male,Diploma,Amazon Flex,36830,37,2,1.4032066413791315,2,3,2,1,0
277,30,Female,Postgraduate,Freelancer,38422,24,3,3.387150525030763,4,3,3,1,1
278,28,Male,Postgraduate,Swiggy,36892,52,3,3.3405058177368074,2,3,3,0,0
279,27,Female,Postgraduate,Swiggy,30558,24,3,1.879295708253016,3,3,3,0,1
280,24,Male,Diploma,Upwork,26120,46,4,2.215244986229741,3,4,4,0,1
281,29,Male,High School,Amazon Flex,37982,52,3,1.8238856372271925,3,3,3,0,1
282,46,Male,Diploma,Freelancer,43053,44,3,4.3955360043215554,2,2,2,0,0
283,44,Female,Postgraduate,Freelancer,45098,25,2,2.911895152272273,3,2,2,1,0
284,41,Female,Undergraduate,Swiggy,35869,40,4,4.287351038745908,3,3,3,0,1
285,22,Female,Postgraduate,Upwork,19097,31,3,2.362375898229967,2,3,2,0,0
286,22,Female,Postgraduate,Swiggy,38662,54,3,0.8274764206557044,2,2,2,0,0
287,39,Male,Postgraduate,Amazon Flex,34484,35,3,4.824871380949014,4,3,4,0,1
288,42,Male,Postgraduate,Freelancer,28644,41,2,0.23554321275971835,3,3,2,0,0
289,29,Female,Undergraduate,Amazon Flex,49721,24,3,4.802894676384002,4,4,4,1,1
290,30,Male,Postgraduate,Swiggy,32686,24,3,2.396097790920503,3,2,2,0,0
291,29,Female,Postgraduate,Upwork,21045,41,3,1.855289102644352,2,2,2,1,0
292,30,Male,Diploma,Uber,28631,37,3,1.9468562624580876,2,2,3,0,0
293,22,Male,Postgraduate,Amazon Flex,35515,51,2,3.649018460586999,3,4,2,0,0
294,28,Female,Diploma,Amazon Flex,36766,52,3,2.6571995938841138,3,4,3,1,1
295,36,Male,Undergraduate,Uber,46870,28,4,3.165333586311553,3,4,4,1,1
296,46,Male,Undergraduate,Freelancer,30266,26,4,2.6319191469926397,3,4,3,0,1
297,44,Male,Postgraduate,Freelancer,38158,46,3,4.157415480785361,4,3,3,0,1
298,42,Male,Postgraduate,Freelancer,24286,42,2,4.572539624271436,2,3,2,1,0
299,22,Male,Postgraduate,Freelancer,35300,49,3,4.138339511709479,3,2,3,0,0
300,29,Female,Postgraduate,Uber,35648,34,3,4.714878266576439,3,4,4,1,1
301,45,Female,Diploma,Uber,33731,22,3,4.073909380390111,3,3,3,1,1
302,37,Female,Postgraduate,Uber,27491,51,4,4.414566548184875,3,4,4,1,1
303,28,Male,Diploma,Upwork,31419,32,3,2.35240978357671,4,4,3,1,1
304,31,Female,Undergraduate,Swiggy,30901,34,2,4.852430742145797,2,3,3,0,0
305,37,Male,Undergraduate,Amazon Flex,39146,22,3,2.455885707821908,3,2,2,1,0
306,34,Female,Postgraduate,Freelancer,28977,21,3,2.730755154439648,3,2,2,1,0
307,30,Male,Postgraduate,Freelancer,37984,46,2,3.6527937054803035,3,3,2,1,0
308,42,Male,High School,Swiggy,22981,45,4,2.567252202629982,3,3,3,1,1
309,38,Female,High School,Uber,27853,34,4,4.872974875602063,4,4,3,0,1
310,29,Male,Diploma,Upwork,27449,27,2,2.5404196131035386,3,3,3,1,0
311,34,Female,High School,Uber,47369,33,4,4.830638594304657,4,4,3,0,1
312,36,Male,Undergraduate,Freelancer,34077,43,3,3.287871816959772,2,2,2,1,0
